lab,label,day_0_len,day_3_len,day_6_len,day_9_len,circumf,leaf_color,bulb_color,tip,dead_leaf,freshness
C,GL1,10,12.9,18.1,23.3,4.9,2,0,0.5,1,0
C,GL2,10,13.2,18,20.7,4.5,2,1,2,1,1
C,GL3,10,13.3,19.7,27.2,5.7,2,1,3,1,1
C,SW1,10,12.5,14.5,17.6,4.7,2,1,2,1,1
C,SW2,10,11,14.1,18.7,4.5,2,1,1,1,1
C,SW3,10,13.7,17.2,19.8,3.9,2,0,3,0,1
C,SW4,10,13.6,17.6,22.4,4.2,2,1,1,1,1
C,SN1,10,11.3,12.5,13.6,4.6,2,1,3,1,1
C,SN2,10,10.5,11.1,11.3,3.9,3,0,6,0,0
C,SN3,10,11.8,12.4,12.9,4.7,2,0,2,1,0
C,SN4,10,12.5,12.7,13,4.4,2,0,2,0,1
C,DW1,10,13.5,21.5,30.5,4.6,1,1,0.5,1,1
C,DW2,10,14.1,18.3,22.5,5.4,1,0,1,1,0
C,DW3,10,15.5,23.8,33.2,3.7,1,1,0,1,1
C,DW4,10,14.4,24,33.8,4.1,1,1,3,1,1
C,DN1,10,10.6,11.9,12.8,4.9,2,1,9,1,0
C,DN2,10,11.3,11.7,12.1,3.7,3,1,1,1,0
C,DN3,10,10.5,10.8,11.5,4.5,3,0,2,1,0
C,DN4,10,11,11.3,11.9,5.3,3,0,5,1,0
C,FN1,10,10.3,10.5,10.8,4.2,3,1,4,1,0
C,FN2,10,11.2,13.5,15.5,3.3,3,0,0,1,0
C,FN3,10,10,9.8,10.2,5.1,3,1,5,1,0
C,FN4,10,10.9,10.8,11.4,4.1,3,0,6,1,0
A,SW1,10,11.3,26.5,28,3.2,2,0,1,0,1
A,SW2,10,11.5,17.4,19.2,3.4,2,0,9,1,0
A,SW3,10,13.5,15.2,16.1,3.7,2,0,6,0,0
A,SW4,10,14.8,18.7,20,3.4,2,0,7,1,0
A,DN1,10,10.8,11.2,11.3,5.2,3,0,5,1,0
A,DN2,10,10.7,11.2,11.5,4,2,0,5,0,1
A,DN3,10,11,11.4,11.5,4.1,2,0,8,0,0
A,DN4,10,11,11.3,12,5,2,0,5,1,0
A,DW1,10,18.5,34.5,42,3,1,1,2,0,1
A,DW2,10,11.5,18.6,25,4.8,1,1,1,0,1
A,DW3,10,11.5,14,15.6,5.3,1,1,0.5,0,1
A,DW4,10,11.5,18,22.4,4.2,2,1,0.5,0,1
A,FN1,10,11.2,13.5,15,4,1,1,0,0,1
A,FN2,10,10.6,13,14.7,4.5,1,1,0,0,1
A,FN3,10,12,14.5,15.5,4.2,1,1,0,0,1
A,FN4,10,10.5,12,12.9,5.4,1,1,0,0,1
D,SN1,10,11.7,12.1,12.5,4.2,2,0,8,1,0
D,SN2,10,11.8,12.3,12.8,4.8,2,1,4,1,1
D,SN3,10,11.2,11.3,12,3.4,3,1,2,1,0
D,SN4,10,11.9,11.9,12.1,3.8,2,1,4,0,1
D,SW1,10,13,18.4,27.3,4.5,2,1,4,1,1
D,SW2,10,12.9,17.1,23.8,3.5,2,1,4,1,1
D,SW3,10,14.2,20.4,27.9,4.4,2,1,7,1,0
D,SW4,10,15.5,24.6,32.2,4.2,2,0,3,0,1
D,DN1,10,11.2,12,12.3,3.9,2,1,5,1,1
D,DN2,10,12.2,12.6,12.8,4,2,1,7,1,0
D,DN3,10,11.5,12.1,12.3,4.6,2,0,11,1,0
D,DN4,10,11.4,11.9,12.2,4,3,0,6,0,0
D,DW1,10,13.8,20.5,29.8,4.2,1,1,3,0,1
D,DW2,10,11,15,25,4.4,1,0,2,1,0
D,DW3,10,15.1,23.1,35.4,4.3,1,0,1,0,1
D,DW4,10,13.5,20.1,27.1,3.9,1,1,3,0,1
D,FN1,10,10.8,10.8,10.8,3.9,1,1,0,0,1
D,FN2,10,11.5,11.6,12,4,1,1,0,0,1
D,FN3,10,11.2,11.8,12.4,4.7,1,1,0,0,1
D,FN4,10,10.7,10.9,11.3,3.8,1,1,0,0,1
